geoid,safmr_median,n_zips
0614218,2260.0,54
0645022,1415.0,24
0664224,2980.0,51
0648872,3560.0,19
0670742,3140.0,12
0668252,3980.0,42
0673262,3110.0,22
0617918,3110.0,27
0667000,3030.0,385
0617610,4280.0,37
0655282,3780.0,50
0649670,3730.0,49
0677000,3900.0,73
0660102,3410.0,35
0669112,4810.0,36
0669084,3800.0,48
0647766,3500.0,28
0668000,3360.0,406
0600562,2720.0,16
0623182,2550.0,41
0681666,2540.0,45
0650258,2800.0,44
0641992,2890.0,33
0683346,3070.0,38
0602252,2420.0,32
0657456,2340.0,22
0670098,2190.0,91
0616000,2710.0,59
0681554,2430.0,41
0626000,3260.0,61
0657792,3510.0,35
0633000,2480.0,66
0681204,2860.0,26
0648354,1630.0,99
0653000,2340.0,203
0668084,2420.0,26
0606000,2490.0,80
0656784,2760.0,26
0683668,3650.0,25
0629504,2820.0,21
0675000,1530.0,128
0642202,1740.0,41
0680812,1570.0,33
0684816,1840.0,20
0613588,2250.0,38
0664000,2030.0,235
0618100,2500.0,30
0622020,2490.0,48
0662938,2620.0,45
0641474,2800.0,25
0662364,2730.0,30
0659444,2200.0,30
0686328,1790.0,17
0655520,1330.0,13
0613014,1480.0,40
0686972,1580.0,20
0659920,1540.0,51
4105350,2070.0,88
4134100,2190.0,59
4159000,2010.0,351
4131250,1890.0,52
4164900,1540.0,77
4101000,1470.0,26
4115800,1600.0,28
4123850,1530.0,76
4169600,1370.0,24
4130550,1320.0,20
4147000,1450.0,47
4103050,1560.0,15
4105800,1780.0,43
4161200,1470.0,7
5303180,2410.0,41
5323515,2420.0,45
5335415,2420.0,83
5305210,3160.0,72
5370000,1940.0,121
5322640,2390.0,64
5363000,2780.0,328
5343955,2390.0,37
5301990,1790.0,10
5305280,1620.0,37
5347560,1730.0,18
5307695,1900.0,25
5338038,1790.0,33
5351300,1770.0,35
5336745,1820.0,27
5374060,1860.0,110
5340245,1360.0,18
5377105,1440.0,15
5380010,1480.0,50
5367000,1420.0,137
5353545,1460.0,25
5358235,1730.0,26
5375775,1540.0,15
5335275,1690.0,25
0203000,1660.0,92
