Jurisdiction,State,lat,lon,Outcome,CDBG ($),Adjustment ($),Net homes added
Lakeland,FL,28.055496,-81.954772,Exempt — recent disaster,825858,0,970.0
Largo,FL,27.908685,-82.774174,Exempt — recent disaster,587919,0,328.0
Lauderhill,FL,26.162225,-80.224434,Exempt — recent disaster,780917,0,559.0
Lee County,FL,26.563273,-81.984182,Exempt — recent disaster,3044711,0,4270.0
Manatee County,FL,27.475556,-82.393144,Exempt — recent disaster,1833537,0,5927.0
Marion County,FL,29.202805,-82.0431,Exempt — recent disaster,2173037,0,4853.0
Melbourne,FL,28.110438,-80.662717,Exempt — recent disaster,603059,0,508.0
Miami,FL,25.775163,-80.208615,Exempt — recent disaster,5026283,0,4017.0
Miami Beach,FL,25.810596,-80.148852,Exempt — recent disaster,858270,0,18.0
Miami Gardens,FL,25.948892,-80.243585,Exempt — recent disaster,970105,0,723.0
Miami-Dade County,FL,25.616009,-80.50375,Exempt — recent disaster,13151137,0,5426.0
Miramar,FL,25.972529,-80.338582,Exempt — recent disaster,824752,0,122.0
North Miami,FL,25.900829,-80.1686,Exempt — recent disaster,765353,0,227.0
Ocala,FL,29.17751,-82.151025,Exempt — recent disaster,510378,0,1236.0
Orange County,FL,28.514391,-81.323284,Exempt — recent disaster,7439307,0,7756.0
Orlando,FL,28.40865,-81.254805,Exempt — recent disaster,2522385,0,2139.0
Osceola County,FL,28.059027,-81.139312,Exempt — recent disaster,1634093,0,6831.0
Palm Bay,FL,27.954802,-80.664962,Exempt — recent disaster,814260,0,1321.0
Palm Beach County,FL,26.649126,-80.448354,Exempt — recent disaster,6609628,0,2751.0
Palm Beach Gardens,FL,26.848788,-80.167124,Exempt — recent disaster,260237,0,445.0
Palm Coast,FL,29.536837,-81.242627,Exempt — recent disaster,462211,0,1782.0
